timeStamp,solarRadiation
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,2
2.01101E+11,2
2.01101E+11,2
2.01101E+11,2
2.01101E+11,2
2.01101E+11,43
2.01101E+11,43
2.01101E+11,43
2.01101E+11,43
2.01101E+11,43
2.01101E+11,173
2.01101E+11,173
2.01101E+11,519
2.01101E+11,519
2.01101E+11,535
2.01101E+11,535
2.01101E+11,535
2.01101E+11,535
2.01101E+11,724
2.01101E+11,724
2.01101E+11,724
2.01101E+11,722
2.01101E+11,722
2.01101E+11,722
2.01101E+11,722
2.01101E+11,722
2.01101E+11,645
2.01101E+11,645
2.01101E+11,645
2.01101E+11,645
2.01101E+11,501
2.01101E+11,501
2.01101E+11,501
2.01101E+11,501
2.01101E+11,268
2.01101E+11,268
2.01101E+11,268
2.01101E+11,268
2.01101E+11,268
2.01101E+11,22
2.01101E+11,22
2.01101E+11,22
2.01101E+11,22
2.01101E+11,22
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,0
2.01101E+11,2
2.01101E+11,109
2.01101E+11,323
2.01101E+11,323
2.01101E+11,513
2.01101E+11,553
2.01101E+11,553
2.01101E+11,716
2.01101E+11,716
2.01101E+11,716
2.01101E+11,716
2.01101E+11,716
2.01101E+11,673
